rank,Youtuber,subscribers,video views,video count,category,started
1,Tsuriki Show,"34,100,000","42,490,526,838","4,739",Entertainment,2019
2,Kidibli (Kinder Spielzeug Kanal),"29,600,000","15,673,364,837","1,236",Entertainment,2015
3,Kurzgesagt – In a Nutshell,"23,600,000","3,145,706,013",271,Education,2013
4,boxtoxtv,"23,500,000","18,303,986,629","1,559",Comedy,2022
5,HaerteTest,"19,500,000","3,420,864,412","1,712",Science & Technology,2011
6,Noel Robinson,"18,600,000","10,752,582,783","1,639",Entertainment,2015
7,FAMILY BOOMS,"16,800,000","16,225,259,066","1,587",Entertainment,2021
8,Talking Angela,"13,300,000","4,116,834,514",345,Entertainment,2014
9,Ice Cream Rolls,"12,400,000","1,709,743,695","2,725",Entertainment,2011
10,The Voice Kids,"12,200,000","4,238,778,683","1,756",Entertainment,2013
11,Electric Squad,"11,700,000","1,108,711,604",244,Gaming,2022
12,German Spidey,"10,900,000","11,280,067,476","1,479",Comedy,2021
13,Pamela Reif,"10,200,000","2,039,097,393",283,Howto & Style,2013
14,ag_soccer team,"9,050,000","9,196,775,078","1,636",Sports,2021
15,Ameer Bros,"8,770,000","1,664,205,957",291,Entertainment,2018
16,Dave Ardito,"8,660,000","3,623,871,897",259,Entertainment,2020
17,Rammstein Official,"8,600,000","6,634,639,951",158,Entertainment,2015
18,freekickerz,"8,540,000","2,445,688,173","1,679",Sports,2010
19,COLORS,"7,850,000","3,200,956,695","1,364",Music,2016
20,growingannanas,"7,110,000","3,804,512,320","1,055",Sports,2017
21,TikTokTunes,"6,990,000","4,713,201,758","1,223",Music,2019
22,EugenBro,"6,940,000","2,491,287,963","1,342",Gaming,2015
23,TheFatRat,"6,560,000","2,141,174,546",130,Music,2011
24,Zedd,"6,220,000","3,650,280,131",211,Music,2010
25,Mascha und der Bär,"6,180,000","2,779,346,690","1,572",Shows,2016
26,Ali Omar,"6,140,000","703,764,460",868,Entertainment,2018
27,Unique Vibes,"5,950,000","3,676,275,292","1,251",Music,2016
28,nadinebreaty,"5,840,000","4,191,817,862","1,412",People & Blogs,2014
29,BibisBeautyPalace,"5,770,000","2,896,617,685",945,Howto & Style,2012
30,DW Documental,"5,670,000","1,305,835,435",670,People & Blogs,2017
31,DW News,"5,620,000","2,613,368,435","37,999",News & Politics,2007
32,Paluten,"5,530,000","5,564,401,210","8,339",Gaming,2012
33,Nik Wild Animals,"5,490,000","4,475,179,345","1,188",Pets & Animals,2022
34,Free Documentary,"5,330,000","1,150,376,066",837,Entertainment,2013
35,CloudKid,"5,330,000","3,099,493,859","2,945",Entertainment,2013
36,Essen Recipes,"5,200,000","1,166,586,395",602,People & Blogs,2020
37,Bundesliga,"5,180,000","2,834,833,011","10,282",Sports,2006
38,SKITS German,"5,150,000","4,640,958,734","2,964",Howto & Style,2023
39,Scorpions,"5,010,000","3,770,294,329",606,Entertainment,2008
40,Gronkh,"5,000,000","3,886,153,257","16,710",Gaming,2006
41,DW Español,"4,940,000","2,891,368,309","44,940",News & Politics,2012
42,Garri Creative,"4,890,000","1,449,298,471",446,People & Blogs,2022
43,KinoCheck.com,"4,760,000","3,894,636,092","7,109",Entertainment,2014
44,FC Bayern München,"4,720,000","2,441,991,235","6,454",Sports,2006
45,ProsafiaGaming,"4,700,000","4,919,466,523","2,196",Gaming,2010
46,ArkivaShqip,"4,610,000","7,678,417,494","8,859",Entertainment,2009
47,Dhruv Rathee Shorts,"4,450,000","1,923,245,405",313,People & Blogs,2022
48,Livani's Studio,"4,420,000","1,508,791,423",216,Film & Animation,2013
49,Calisthenicmovement,"4,270,000","541,985,913",371,Sports,2012
50,Craftronix,"4,180,000","1,295,205,099",416,Film & Animation,2013
51,Simon Desue,"4,140,000","833,801,150",703,Entertainment,2009
52,Mohamad Gowani محمد جواني,"4,120,000","130,780,742",108,Entertainment,2016
53,TheKAIRI78,"4,020,000","1,462,621,139","4,774",Gaming,2011
54,FilmSelect,"4,020,000","2,031,884,349","2,560",Entertainment,2016
